2016-06-16 13:23:50, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/978-1-59259-993-6_17, Reference number 1 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:23:53, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://pnas.org is unsupported., 10.1073/pnas.242590799, Reference number 3 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:23:55, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://ieeexplore.ieee.org is unsupported., 10.1109/51.582176, Reference number 6 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:23:59, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://iopscience.iop.org is unsupported., 10.1088/0957-4484/4/2/006, Reference number 7 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:01, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://Biomechanical.asmedigitalcollection.asme.org is unsupported., 10.1115/1.2720924, Reference number 8 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:04, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://iopscience.iop.org is unsupported., 10.1088/0957-4484/22/34/345102, Reference number 11 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:05, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/s00424-008-0524-3, Reference number 12 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:07, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://journals.aps.org is unsupported., 10.1103/PhysRevE.72.021914, Reference number 13 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:09, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://Biomechanical.asmedigitalcollection.asme.org is unsupported., 10.1115/1.2835074, Reference number 16 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:11, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://pubs.acs.org is unsupported., 10.1021/la980585z, Reference number 17 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:13, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/s10237-009-0156-3, Reference number 19 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:16, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://rsif.royalsocietypublishing.org is unsupported., 10.1098/rsif.2011.0733, Reference number 20 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:18, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find keywords, 10.1007/s10237-006-0046-x, Reference number 21 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:20, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://scitation.aip.org is unsupported., 10.1063/1.1143970, Reference number 23 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:21, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://AppliedMechanics.asmedigitalcollection.asme.org is unsupported., 10.1115/1.2893754, Reference number 24 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:28, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://journals.cambridge.org is unsupported., 10.1017/S0305004100022325, Reference number 25 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:29, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/s00249-008-0311-2, Reference number 26 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:31, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://iopscience.iop.org is unsupported., 10.1088/0022-3727/27/6/013, Reference number 30 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:33, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://pt.wkhealth.com is unsupported., 10.1097/MAO.0b013e3181f6c8b7, Reference number 32 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:34, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://nature.com/nmeth is unsupported., 10.1038/nmeth.1220, Reference number 35 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:36, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/s12195-010-0142-y, Reference number 39 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:42, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://bloodjournal.org is unsupported., 10.1182/blood-2010-11-321125, Reference number 40 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:45, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://jcs.biologists.org is unsupported., 10.1242/jcs.02886, Reference number 43 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:49, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://pubs.acs.org is unsupported., 10.1021/la9713006, Reference number 46 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:52, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://science.sciencemag.org is unsupported., 10.1126/science.1095087, Reference number 49 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:53, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/BF02513342, Reference number 53 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:24:57, gui.Window.add_to_library_from_label, Error parsing webpage, Unable to find main content of page, 10.1007/s10439-007-9288-8, Reference number 54 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:25:01, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://jap.physiology.org is unsupported., 10.1152/japplphysiol.00255.2002, Reference number 57 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:25:03, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://nature.com/nature is unsupported., 10.1038/nature03550, Reference number 59 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:25:04, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://pnas.org is unsupported., 10.1073/pnas.0903353106, Reference number 61 of paper with doi 10.1016/j.bpj.2013.05.034

2016-06-16 13:25:06, gui.Window.add_to_library_from_label, Publisher unsupported, Publisher with URL http://nature.com/ncb is unsupported., 10.1038/ncb1705, Reference number 63 of paper with doi 10.1016/j.bpj.2013.05.034

